Epoch 149/1000 | Loss: 0.0198 | Precision: 0.8020 | Recall: 0.6153 | F1: 0.6726
Epoch 150/1000 | Loss: 0.0197 | Precision: 0.8013 | Recall: 0.6181 | F1: 0.6751
Epoch 151/1000 | Loss: 0.0197 | Precision: 0.8063 | Recall: 0.6194 | F1: 0.6771
Epoch 152/1000 | Loss: 0.0196 | Precision: 0.8028 | Recall: 0.6199 | F1: 0.6770
Epoch 153/1000 | Loss: 0.0197 | Precision: 0.7992 | Recall: 0.6159 | F1: 0.6719
Epoch 154/1000 | Loss: 0.0196 | Precision: 0.8032 | Recall: 0.6193 | F1: 0.6767
Epoch 155/1000 | Loss: 0.0197 | Precision: 0.8042 | Recall: 0.6201 | F1: 0.6763
Epoch 156/1000 | Loss: 0.0197 | Precision: 0.8032 | Recall: 0.6214 | F1: 0.6776
Epoch 157/1000 | Loss: 0.0196 | Precision: 0.8016 | Recall: 0.6201 | F1: 0.6761
Epoch 158/1000 | Loss: 0.0195 | Precision: 0.8039 | Recall: 0.6203 | F1: 0.6773
Epoch 159/1000 | Loss: 0.0196 | Precision: 0.8050 | Recall: 0.6213 | F1: 0.6778
Epoch 160/1000 | Loss: 0.0196 | Precision: 0.8065 | Recall: 0.6237 | F1: 0.6802
Epoch 161/1000 | Loss: 0.0195 | Precision: 0.8083 | Recall: 0.6252 | F1: 0.6819
Epoch 162/1000 | Loss: 0.0196 | Precision: 0.8085 | Recall: 0.6225 | F1: 0.6796
Epoch 163/1000 | Loss: 0.0195 | Precision: 0.8097 | Recall: 0.6265 | F1: 0.6834
Epoch 164/1000 | Loss: 0.0195 | Precision: 0.8069 | Recall: 0.6251 | F1: 0.6814
Epoch 165/1000 | Loss: 0.0194 | Precision: 0.8105 | Recall: 0.6275 | F1: 0.6845
Epoch 166/1000 | Loss: 0.0195 | Precision: 0.8070 | Recall: 0.6266 | F1: 0.6827
Epoch 167/1000 | Loss: 0.0193 | Precision: 0.8105 | Recall: 0.6285 | F1: 0.6851
Epoch 168/1000 | Loss: 0.0194 | Precision: 0.8097 | Recall: 0.6288 | F1: 0.6854
Epoch 169/1000 | Loss: 0.0194 | Precision: 0.8086 | Recall: 0.6256 | F1: 0.6826
Epoch 170/1000 | Loss: 0.0194 | Precision: 0.8076 | Recall: 0.6271 | F1: 0.6828
Epoch 171/1000 | Loss: 0.0194 | Precision: 0.8102 | Recall: 0.6271 | F1: 0.6835
Epoch 172/1000 | Loss: 0.0194 | Precision: 0.8125 | Recall: 0.6288 | F1: 0.6856
Epoch 173/1000 | Loss: 0.0194 | Precision: 0.8110 | Recall: 0.6296 | F1: 0.6858
Epoch 174/1000 | Loss: 0.0194 | Precision: 0.8092 | Recall: 0.6295 | F1: 0.6850
Epoch 175/1000 | Loss: 0.0193 | Precision: 0.8123 | Recall: 0.6317 | F1: 0.6881
Epoch 176/1000 | Loss: 0.0192 | Precision: 0.8127 | Recall: 0.6319 | F1: 0.6889
